#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: player-0.png (1436 x 1436)
# $TexturePacker:SmartUpdate:5d16ed3a4ac772419c5187413096f495:b875dad8615ff1f11968c4d1f6d25269:9737b531dacbe564437fd279663e8b68$
#

death_0;0;0;0;205;205;205;205;0.5;0.5
death_1;0;0;205;205;205;205;205;0.5;0.5
death_2;0;0;410;205;205;205;205;0.5;0.5
death_3;0;0;615;205;205;205;205;0.5;0.5
death_4;0;0;820;205;205;205;205;0.5;0.5
death_5;0;0;1025;205;205;205;205;0.5;0.5
death_6;0;0;1230;205;205;205;205;0.5;0.5
death_7;0;205;0;205;205;205;205;0.5;0.5
death_8;0;410;0;205;205;205;205;0.5;0.5
death_9;0;615;0;205;205;205;205;0.5;0.5
fall_0;0;820;0;205;205;205;205;0.5;0.5
fall_1;0;1025;0;205;205;205;205;0.5;0.5
fall_2;0;1230;0;205;205;205;205;0.5;0.5
fall_3;0;205;205;205;205;205;205;0.5;0.5
fall_4;0;205;410;205;205;205;205;0.5;0.5
hit_0;0;205;615;205;205;205;205;0.5;0.5
hit_1;0;205;820;205;205;205;205;0.5;0.5
hit_2;0;205;1025;205;205;205;205;0.5;0.5
idle_0;0;205;1230;205;205;205;205;0.5;0.5
idle_1;0;410;205;205;205;205;205;0.5;0.5
idle_2;0;615;205;205;205;205;205;0.5;0.5
idle_3;0;820;205;205;205;205;205;0.5;0.5
idle_4;0;1025;205;205;205;205;205;0.5;0.5
idle_5;0;1230;205;205;205;205;205;0.5;0.5
jumpEnd_0;0;410;410;205;205;205;205;0.5;0.5
jumpEnd_1;0;410;615;205;205;205;205;0.5;0.5
jumpEnd_2;0;410;820;205;205;205;205;0.5;0.5
jumpStart_0;0;410;1025;205;205;205;205;0.5;0.5
jumpStart_1;0;410;1230;205;205;205;205;0.5;0.5
roll_0;0;615;410;205;205;205;205;0.5;0.5
roll_1;0;820;410;205;205;205;205;0.5;0.5
roll_2;0;1025;410;205;205;205;205;0.5;0.5
roll_3;0;1230;410;205;205;205;205;0.5;0.5
roll_4;0;615;615;205;205;205;205;0.5;0.5
walk_0;0;615;820;205;205;205;205;0.5;0.5
walk_1;0;615;1025;205;205;205;205;0.5;0.5
walk_2;0;615;1230;205;205;205;205;0.5;0.5
walk_3;0;820;615;205;205;205;205;0.5;0.5
walk_4;0;1025;615;205;205;205;205;0.5;0.5
walk_5;0;1230;615;205;205;205;205;0.5;0.5
walk_6;0;820;820;205;205;205;205;0.5;0.5
walk_7;0;820;1025;205;205;205;205;0.5;0.5
